292	Rednex	Cotton Eye Joe	1994
293	Roxette	The Look	1989
294	Tommy James & the Shondells	Crimson & Clover	1969
295	Shaggy	Boombastic	1995
296	Seal	Kiss From a Rose	1995
297	Culture Beat	Mr Vain	1993
298	Oasis	Wonderwall	1996
299	The Rolling Stones	Paint it Black	1966
300	Britney Spears	Oops!... I Did it Again	2000
301	The Bangles	Eternal Flame	1989
302	Domenico Modugno	Volare	1958
303	The Righteous Brothers	You've Lost That Lovin' Feelin'	1964
304	Harry Nilsson	Without You	1972
305	Shaggy & Ricardo 'RikRok' Ducent	It Wasn't Me	2001
306	U2	I Still Haven't Found What I'm Looking For	1987
307	Natalie Imbruglia	Torn	1998
308	The Crew-Cuts	Sh-Boom (Life Could Be a Dream)	1954
309	Bee Gees	Too Much Heaven	1979
310	LeAnn Rimes	Can't Fight the Moonlight	2001
311	Richard Marx	Right Here Waiting	1989
312	N Sync	Bye, Bye, Bye	2000
313	Jefferson Starship	Nothing's Gonna Stop Us Now	1987
314	Jennifer Lopez	If You Had My Love	1999
315	Shaggy	Angel	2001
316	M	Pop Muzik	1979
317	Simon & Garfunkel	The Sounds of Silence	1966
318	Donna Summer	I Feel Love	1977
319	John Lennon	Woman	1981
320	Pat Boone	Speedy Gonzales	1962
321	Men At Work	Down Under	1982
322	Robert Miles	Children	1996
323	Enigma	Sadeness	1991
324	Gerry Rafferty	Baker Street	1978
325	Dido	White Flag	2003
326	The Goo Goo Dolls	Iris	1998
327	Rod Stewart	Do Ya Think I'm Sexy?	1979
328	Mariah Carey	All I Want For Christmas is You	2006
329	Dexys Midnight Runners	Come On Eileen	1982
330	Anita Ward	Ring My Bell	1979
331	Paul McCartney & Michael Jackson	Say Say Say	1983
332	Phil Collins	In the Air Tonight	1981
333	Teresa Brewer	(Put Another Nickel In) Music! Music! Music!	1950
334	OutKast	Ms Jackson	2001
335	Prince	The Most Beautiful Girl in the World	1994
336	Mario	Let Me Love You	2005
337	Rocco Granata	Marina	1960
338	Nelly Furtado	Say It Right	2007
339	Alanis Morissette	Ironic	1996
340	Wings	Mull of Kintyre	1977
341	Billy Swan	I Can Help	1975
342	Nena	99 Red Balloons	1984
343	The Beatles	The Ballad of John & Yoko	1969
344	B J Thomas	Raindrops Keep Falling On My Head	1970
345	Kanye West & Jamie Foxx	Gold Digger	2005
346	Phil Collins	Against All Odds (Take a Look At Me Now)	1984
347	Queen	Crazy Little Thing Called Love	1980
348	Kris Kross	Jump	1992
349	The Platters	Smoke Gets in Your Eyes	1959
350	The Beatles	Come Together	1969
351	Bonnie Tyler	It's a Heartache	1978
352	Elvis Presley	Don't Be Cruel	1956
353	Otis Redding	(Sittin' On) the Dock of the Bay	1968
354	Jive Bunny & The Mastermixers	Swing the Mood	1989
355	Offspring	Pretty Fly (For a White Guy)	1999
356	Bruno Mars	Just the Way You Are	2010
357	Madonna	Like a Virgin	1984
358	The Andrews Sisters	Rum & Coca-Cola	1945
359	Francis Craig	Near You	1947
360	Elvis Presley	All Shook Up	1957
361	Haddaway	What is Love?	1993
362	Bon Jovi	Livin' On a Prayer	1987
363	Bon Jovi	Blaze of Glory	1990
364	Lionel Richie	Hello	1984
365	Extreme	More Than Words	1991
366	Frank Sinatra	Five Minutes More	1946
367	Van Halen	Jump	1984
368	The Black Eyed Peas	Don't Phunk With My Heart	2005
369	Elvis Presley	Surrender	1961
370	Snap	Rhythm is a Dancer	1992
371	Michael Jackson	Don't Stop 'Til You Get Enough	1979
372	Katy Perry	Firework	2010
373	Madonna	Take a Bow	1995
374	Gene Autry	Rudolph, the Red-Nosed Reindeer	1949
375	Destiny's Child	Lose My Breath	2004
376	Gwen Stefani	Hollaback Girl	2005
377	Santana	Maria Maria	2000
378	Fifth Dimension	Aquarius/Let The Sunshine In	1969
379	Scott McKenzie	San Francisco (Wear Some Flowers in Your Hair)	1967
380	Peter Gabriel	Sledgehammer	1986
381	The Monkees	Daydream Believer	1967
382	The Everly Brothers	Cathy's Clown	1960
383	Kanye West	Stronger	2007
384	Janet Jackson	Together Again	1998
385	Michael Jackson & Janet Jackson	Scream	1995
386	Abba	SOS	1975
387	Enrique Iglesias	Hero	2001
388	Del Shannon	Runaway	1961
389	Maroon 5 & Christina Aguilera	Moves Like Jagger	2011
390	Crash Test Dummies	Mmm Mmm Mmm Mmm	1994
391	The Mamas & The Papas	Monday Monday	1966
